Ensembl Gene ID	Gene Symbol	Gene Synonyms	
ENSG00000270440	-	-	
ENSG00000270441	-	-	
ENSG00000270442	-	-	
ENSG00000270443	-	-	
ENSG00000270444	-	-	
ENSG00000270445	-	-	
ENSG00000270446	-	-	
ENSG00000270447	-	-	
ENSG00000270449	-	-	
ENSG00000270450	-	-	
ENSG00000270451	-	-	
ENSG00000270453	-	-	
ENSG00000270455	-	-	
ENSG00000270456	-	-	
ENSG00000270457	-	-	
ENSG00000270458	-	-	
ENSG00000270460	-	-	
ENSG00000270462	-	-	
ENSG00000270466	-	-	
ENSG00000270467	-	-	
ENSG00000270469	-	-	
ENSG00000270470	-	-	
ENSG00000270472	-	-	
ENSG00000270475	-	-	
ENSG00000270477	-	-	
ENSG00000270479	-	-	
ENSG00000270480	-	-	
ENSG00000270482	-	-	
ENSG00000270484	-	-	
ENSG00000270487	-	-	
ENSG00000270488	-	-	
ENSG00000270490	-	-	
ENSG00000270491	-	-	
ENSG00000270492	-	-	
ENSG00000270493	-	-	
ENSG00000270494	-	-	
ENSG00000270495	-	-	
ENSG00000270496	-	-	
ENSG00000270497	-	-	
ENSG00000270499	-	-	
ENSG00000270500	-	-	
ENSG00000270503	-	-	
ENSG00000270504	-	-	
ENSG00000270505	-	-	
ENSG00000270506	-	-	
ENSG00000270507	-	-	
ENSG00000270509	-	-	
ENSG00000270510	-	-	
ENSG00000270512	-	-	
ENSG00000270513	-	-	
ENSG00000270516	-	-	
ENSG00000270518	-	-	
ENSG00000270521	-	-	
ENSG00000270522	-	-	
ENSG00000270523	-	-	
ENSG00000270524	-	-	
ENSG00000270526	-	-	
ENSG00000270528	-	-	
ENSG00000270531	-	-	
ENSG00000270532	-	-	
ENSG00000270533	-	-	
ENSG00000270535	-	-	
ENSG00000270538	-	-	
ENSG00000270540	-	-	
ENSG00000270541	-	-	
ENSG00000270542	-	-	
ENSG00000270544	-	-	
ENSG00000270547	LINC01235	-	
ENSG00000270549	-	-	
ENSG00000270552	-	-	
ENSG00000270553	-	-	
ENSG00000270554	-	-	
ENSG00000270555	-	-	
ENSG00000270557	-	-	
ENSG00000270558	-	-	
ENSG00000270560	-	-	
ENSG00000270562	-	-	
ENSG00000270568	-	-	
ENSG00000270569	-	-	
ENSG00000270570	-	-	
ENSG00000270571	-	-	
ENSG00000270574	-	-	
ENSG00000270575	-	-	
ENSG00000270576	-	-	
ENSG00000270577	-	-	
ENSG00000270578	-	-	
ENSG00000270580	PKD1P6-NPIPP1	-	
ENSG00000270581	-	-	
ENSG00000270583	-	-	
ENSG00000270584	-	-	
ENSG00000270585	-	-	
ENSG00000270587	-	-	
ENSG00000270588	-	-	
ENSG00000270589	-	-	
ENSG00000270591	-	-	
ENSG00000270593	-	-	
ENSG00000270598	-	-	
ENSG00000270599	-	-	
ENSG00000270601	PRAMEF5	PRAMEF23; PRAMEF5L	
ENSG00000270604	HCG17	LINC00046; HCG18; NCRNA00046	
